team,year,playoff-seed,div,succ
BAL,2019,1,afc,TRUE
BUF,2019,5,afc,TRUE
CIN,2019,,afc,
CLE,2019,,afc,
DEN,2019,,afc,
HOU,2019,4,afc,TRUE
IND,2019,,afc,
JAX,2019,,afc,
KC,2019,2,afc,TRUE
LV,2019,,afc,
LAC,2019,,afc,
MIA,2019,,afc,
NE,2019,3,afc,TRUE
NYJ,2019,,afc,
PIT,2019,,afc,
TEN,2019,6,afc,TRUE
ARI,2019,,nfc,
ATL,2019,,nfc,
CAR,2019,,nfc,
CHI,2019,,nfc,
DAL,2019,,nfc,
DET,2019,,nfc,
GB,2019,2,nfc,TRUE
LAR,2019,,nfc,
MIN,2019,6,nfc,TRUE
NO,2019,3,nfc,TRUE
NYG,2019,,nfc,
PHI,2019,4,nfc,TRUE
SF,2019,1,nfc,TRUE
SEA,2019,5,nfc,TRUE
TB,2019,,nfc,
WSH,2019,,nfc,
BAL,2020,5,afc,TRUE
BUF,2020,2,afc,TRUE
CIN,2020,,afc,
CLE,2020,6,afc,TRUE
DEN,2020,,afc,
HOU,2020,,afc,
IND,2020,7,afc,TRUE
JAX,2020,,afc,
KC,2020,1,afc,TRUE
LV,2020,,afc,
LAC,2020,,afc,
MIA,2020,,afc,
NE,2020,,afc,
NYJ,2020,,afc,
PIT,2020,3,afc,TRUE
TEN,2020,4,afc,TRUE
ARI,2020,,nfc,
ATL,2020,,nfc,
CAR,2020,,nfc,
CHI,2020,7,nfc,TRUE
DAL,2020,,nfc,
DET,2020,,nfc,
GB,2020,1,nfc,TRUE
LAR,2020,6,nfc,TRUE
MIN,2020,,nfc,
NO,2020,2,nfc,TRUE
NYG,2020,,nfc,
PHI,2020,,nfc,
SF,2020,,nfc,
SEA,2020,3,nfc,TRUE
TB,2020,5,nfc,TRUE
WSH,2020,4,nfc,TRUE
BAL,2021,,afc,
BUF,2021,3,afc,TRUE
CIN,2021,4,afc,TRUE
CLE,2021,,afc,
DEN,2021,,afc,
HOU,2021,,afc,
IND,2021,,afc,
JAX,2021,,afc,
KC,2021,2,afc,TRUE
LV,2021,5,afc,TRUE
LAC,2021,,afc,
MIA,2021,,afc,
NE,2021,6,afc,TRUE
NYJ,2021,,afc,
PIT,2021,7,afc,TRUE
TEN,2021,1,afc,TRUE
ARI,2021,5,nfc,TRUE
ATL,2021,,nfc,
CAR,2021,,nfc,
CHI,2021,,nfc,
DAL,2021,3,nfc,TRUE
DET,2021,,nfc,
GB,2021,1,nfc,TRUE
LAR,2021,4,nfc,TRUE
MIN,2021,,nfc,
NO,2021,,nfc,
NYG,2021,,nfc,
PHI,2021,7,nfc,TRUE
SF,2021,6,nfc,TRUE
SEA,2021,,nfc,
TB,2021,2,nfc,TRUE
WSH,2021,,nfc,
BAL,2022,6,afc,TRUE
BUF,2022,2,afc,TRUE
CIN,2022,3,afc,TRUE
CLE,2022,,afc,
DEN,2022,,afc,
HOU,2022,,afc,
IND,2022,,afc,
JAX,2022,4,afc,TRUE
KC,2022,1,afc,TRUE
LV,2022,,afc,
LAC,2022,5,afc,TRUE
MIA,2022,7,afc,TRUE
NE,2022,,afc,
NYJ,2022,,afc,
PIT,2022,,afc,
TEN,2022,,afc,
ARI,2022,,nfc,
ATL,2022,,nfc,
CAR,2022,,nfc,
CHI,2022,,nfc,
DAL,2022,5,nfc,TRUE
DET,2022,,nfc,
GB,2022,,nfc,
LAR,2022,,nfc,
MIN,2022,3,nfc,TRUE
NO,2022,,nfc,
NYG,2022,6,nfc,TRUE
PHI,2022,1,nfc,TRUE
SF,2022,2,nfc,TRUE
SEA,2022,7,nfc,TRUE
TB,2022,4,nfc,TRUE
WSH,2022,,nfc,
